ID,Name,ID Country,ID Level 1 Sub Division,ID Level 2 Sub Division,,,,,,,,,,,,,,,,,,,,,
165.0,Calgary,40.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,
166.0,Edmonton,40.0,59.0,59.0,,,,,,,,,,,,,,,,,,,,,
167.0,Vancouver,40.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,
168.0,Victoria,40.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,
169.0,Winnipeg,40.0,61.0,61.0,,,,,,,,,,,,,,,,,,,,,
170.0,St. John's,40.0,63.0,63.0,,,,,,,,,,,,,,,,,,,,,
171.0,Halifax,40.0,64.0,64.0,,,,,,,,,,,,,,,,,,,,,
172.0,Ottawa,40.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,
173.0,Toronto,40.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,,
174.0,Quebec City,40.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,
175.0,Montreal,40.0,67.0,67.0,,,,,,,,,,,,,,,,,,,,,
176.0,Saskatoon,40.0,68.0,68.0,,,,,,,,,,,,,,,,,,,,,
177.0,Yellowknife,40.0,69.0,69.0,,,,,,,,,,,,,,,,,,,,,
178.0,Iqaluit,40.0,70.0,70.0,,,,,,,,,,,,,,,,,,,,,
179.0,Whitehorse,40.0,71.0,71.0,,,,,,,,,,,,,,,,,,,,,
180.0,Covent Garden,68.0,72.0,72.0,,,,,,,,,,,,,,,,,,,,,
181.0,Notting Hill,68.0,73.0,73.0,,,,,,,,,,,,,,,,,,,,,
182.0,Hampstead,68.0,75.0,76.0,,,,,,,,,,,,,,,,,,,,,
183.0,Shoreditch,68.0,75.0,77.0,,,,,,,,,,,,,,,,,,,,,
184.0,Canary Wharf,68.0,76.0,79.0,,,,,,,,,,,,,,,,,,,,,
185.0,Brixton,68.0,78.0,82.0,,,,,,,,,,,,,,,,,,,,,
186.0,Richmond,68.0,74.0,74.0,,,,,,,,,,,,,,,,,,,,,
187.0,Greenwich,68.0,82.0,83.0,,,,,,,,,,,,,,,,,,,,,
188.0,Wembley,68.0,78.0,82.0,,,,,,,,,,,,,,,,,,,,,
189.0,Wimbledon,68.0,79.0,84.0,,,,,,,,,,,,,,,,,,,,,
190.0,Stratford,68.0,81.0,86.0,,,,,,,,,,,,,,,,,,,,,
191.0,Stuttgart,84.0,83.0,87.0,,,,,,,,,,,,,,,,,,,,,
192.0,Munich (München),84.0,84.0,88.0,,,,,,,,,,,,,,,,,,,,,
