ID,Name,Short Name,UTC Offset,,,,,,,,,,,,,,,,,,,,,,,
94.0,Hong Kong Time,HKT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
95.0,Heard and McDonald Islands Time,HMT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
96.0,Khovd Summer Time,HOVST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
97.0,Khovd Standard Time,HOVT, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
98.0,Indochina Time,ICT, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
99.0,Israel Daylight Time,IDT, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
100.0,Indian Ocean Time,IOT, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
101.0,Iran Daylight Time,IRDT, + 4:30,,,,,,,,,,,,,,,,,,,,,,,
102.0,Irkutsk Time,IRKT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
103.0,Iran Standard Time,IRST, + 3:30,,,,,,,,,,,,,,,,,,,,,,,
104.0,Indian Standard Time,IST, + 5:30,,,,,,,,,,,,,,,,,,,,,,,
105.0,Irish Standard Time[6],IST, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
106.0,Israel Standard Time,IST, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
107.0,Japan Standard Time,JST, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
108.0,Kyrgyzstan time,KGT, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
109.0,Kosrae Time,KOST, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
110.0,Krasnoyarsk Time,KRAT, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
111.0,Korea Standard Time,KST, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
112.0,Lord Howe Standard Time,LHST, + 10:30,,,,,,,,,,,,,,,,,,,,,,,
113.0,Lord Howe Summer Time,LHST, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
114.0,Line Islands Time,LINT, + 14:00,,,,,,,,,,,,,,,,,,,,,,,
115.0,Magadan Time,MAGT, + 14:00,,,,,,,,,,,,,,,,,,,,,,,
116.0,Marquesas Islands Time,MART,- 9:30,,,,,,,,,,,,,,,,,,,,,,,
117.0,Mawson Station Time,MAWT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
118.0,Mountain Daylight Time (North America),MDT,- 6:00,,,,,,,,,,,,,,,,,,,,,,,
119.0,Middle European Time Same zone as CET,MET, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
120.0,Middle European Summer Time Same zone as CEST,MEST, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
121.0,Marshall Islands,MHT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
122.0,Macquarie Island Station Time,MIST, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
123.0,Marquesas Islands Time,MIT,- 9:30,,,,,,,,,,,,,,,,,,,,,,,
124.0,Myanmar Standard Time,MMT, + 6:30,,,,,,,,,,,,,,,,,,,,,,,
125.0,Moscow Time,MSK, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
126.0,Malaysia Standard Time,MST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
127.0,Mountain Standard Time (North America),MST,- 7:00,,,,,,,,,,,,,,,,,,,,,,,
128.0,Mauritius Time,MUT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
129.0,Maldives Time,MVT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
130.0,Malaysia Time,MYT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
131.0,New Caledonia Time,NCT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
132.0,Newfoundland Daylight Time,NDT,- 2:30,,,,,,,,,,,,,,,,,,,,,,,
133.0,Norfolk Time,NFT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
134.0,Nepal Time,NPT, + 5:45,,,,,,,,,,,,,,,,,,,,,,,
135.0,Newfoundland Standard Time,NST,- 3:30,,,,,,,,,,,,,,,,,,,,,,,
136.0,Newfoundland Time,NT,- 3:30,,,,,,,,,,,,,,,,,,,,,,,
137.0,Niue Time,NUT,- 11:00,,,,,,,,,,,,,,,,,,,,,,,
138.0,New Zealand Daylight Time,NZDT, + 13:00,,,,,,,,,,,,,,,,,,,,,,,
139.0,New Zealand Standard Time,NZST, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
140.0,Omsk Time,OMST, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
141.0,Oral Time,ORAT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
142.0,Pacific Daylight Time (North America),PDT,- 7:00,,,,,,,,,,,,,,,,,,,,,,,
143.0,Peru Time,PET,- 5:00,,,,,,,,,,,,,,,,,,,,,,,
144.0,Kamchatka Time,PETT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
145.0,Papua New Guinea Time,PGT, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
146.0,Phoenix Island Time,PHOT, + 13:00,,,,,,,,,,,,,,,,,,,,,,,
147.0,Philippine Time,PHT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
148.0,Pakistan Standard Time,PKT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
149.0,Saint Pierre and Miquelon Daylight time,PMDT,- 2:00,,,,,,,,,,,,,,,,,,,,,,,
150.0,Saint Pierre and Miquelon Standard Time,PMST,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
151.0,Pohnpei Standard Time,PONT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
152.0,Pacific Standard Time (North America),PST,- 8:00,,,,,,,,,,,,,,,,,,,,,,,
153.0,Philippine Standard Time,PST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
154.0,Paraguay Summer Time (South America)[7],PYST,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
155.0,Paraguay Time (South America)[8],PYT,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
156.0,Réunion Time,RET, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
157.0,Rothera Research Station Time,ROTT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
158.0,Sakhalin Island time,SAKT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
159.0,Samara Time,SAMT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
160.0,South African Standard Time,SAST, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
161.0,Solomon Islands Time,SBT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
162.0,Seychelles Time,SCT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
163.0,Singapore Time,SGT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
164.0,Sri Lanka Standard Time,SLST, + 5:30,,,,,,,,,,,,,,,,,,,,,,,
165.0,Srednekolymsk Time,SRET, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
166.0,Suriname Time,SRT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
167.0,Samoa Standard Time,SST,- 11:00,,,,,,,,,,,,,,,,,,,,,,,
168.0,Singapore Standard Time,SST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
169.0,Showa Station Time,SYOT, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
170.0,Tahiti Time,TAHT,- 10:00,,,,,,,,,,,,,,,,,,,,,,,
171.0,Thailand Standard Time,THA, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
172.0,Indian/Kerguelen,TFT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
173.0,Tajikistan Time,TJT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
174.0,Tokelau Time,TKT, + 13:00,,,,,,,,,,,,,,,,,,,,,,,
175.0,Timor Leste Time,TLT, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
176.0,Turkmenistan Time,TMT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
177.0,Turkey Time,TRT, + 3:00,,,,,,,,,,,,,,,,,,,,,,,
178.0,Tonga Time,TOT, + 13:00,,,,,,,,,,,,,,,,,,,,,,,
179.0,Tuvalu Time,TVT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
180.0,Ulaanbaatar Summer Time,ULAST, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
181.0,Ulaanbaatar Standard Time,ULAT, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
182.0,Kaliningrad Time,USZ1, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
183.0,Coordinated Universal Time,,±00,,,,,,,,,,,,,,,,,,,,,,,
184.0,Uruguay Summer Time,UYST,- 2:00,,,,,,,,,,,,,,,,,,,,,,,
185.0,Uruguay Standard Time,UYT,- 3:00,,,,,,,,,,,,,,,,,,,,,,,
186.0,Uzbekistan Time,UZT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
187.0,Venezuelan Standard Time,VET,- 4:00,,,,,,,,,,,,,,,,,,,,,,,
188.0,Vladivostok Time,VLAT, + 10:00,,,,,,,,,,,,,,,,,,,,,,,
189.0,Volgograd Time,VOLT, + 4:00,,,,,,,,,,,,,,,,,,,,,,,
190.0,Vostok Station Time,VOST, + 6:00,,,,,,,,,,,,,,,,,,,,,,,
191.0,Vanuatu Time,VUT, + 11:00,,,,,,,,,,,,,,,,,,,,,,,
192.0,Wake Island Time,WAKT, + 12:00,,,,,,,,,,,,,,,,,,,,,,,
193.0,West Africa Summer Time,WAST, + 2:00,,,,,,,,,,,,,,,,,,,,,,,
194.0,West Africa Time,WAT, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
195.0,Western European Summer Time,WEST, + 1:00,,,,,,,,,,,,,,,,,,,,,,,
196.0,Western European Time,WET,±00,,,,,,,,,,,,,,,,,,,,,,,
197.0,Western Indonesian Time,WIT, + 7:00,,,,,,,,,,,,,,,,,,,,,,,
198.0,Western Standard Time,WST, + 8:00,,,,,,,,,,,,,,,,,,,,,,,
199.0,Yakutsk Time,YAKT, + 9:00,,,,,,,,,,,,,,,,,,,,,,,
200.0,Yekaterinburg Time,YEKT, + 5:00,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
